id,first_name,last_name,position,affiliation,page_type,url
,Zincy,Wei,PhD,Northwestern University,HOME,https://sites.northwestern.edu/zwt9130/
,Joseph,Battles,PhD,University of Chicago,HOME,https://econbattles.github.io/
,Aditya,Bhandari,PhD,University of Chicago,HOME,https://www.aditya-bhandari.com
,Filippo,Cavaleri,PhD,University of Chicago,HOME,https://filippocavaleri.github.io/
,Raman Singh,Chhina,PhD,University of Chicago,HOME,https://www.rschhina.com/
,Michael G.,Cuna,PhD,University of Chicago,HOME,https://mgcuna.github.io/website/
,Nimisha,Gupta,PhD,University of Chicago,HOME,https://sites.google.com/view/nimisha-gupta-2610/home
,Joanna,Harris Murphy,PhD,University of Chicago,HOME,https://www.joanna-harris-murphy.com/
,Faraz,Hayat,PhD,University of Chicago,HOME,https://farazhayat.com/
,Karan,Jain,PhD,University of Chicago,HOME,https://www.k-jain.com
,Edward,Jee,PhD,University of Chicago,HOME,https://edjeeongithub.github.io/
,Furkan,Kilic,PhD,University of Chicago,HOME,https://www.furkan-kilic.com/
,Xianglong,Kong,PhD,University of Chicago,HOME,https://xlkong96.github.io/website/
,Clara,Kyung,PhD,University of Chicago,HOME,https://ckyung.github.io/
,Chun Pong,Lau,PhD,University of Chicago,HOME,https://conroylau.github.io/
,Feng,Lin,PhD,University of Chicago,HOME,https://fenglin.site/
,Ashton,Pallottini,PhD,University of Chicago,HOME,https://ashtonpallottini.com
,Francesco,Ruggieri,PhD,University of Chicago,HOME,https://francescoruggieri.github.io/
,Haruka,Uchida,PhD,University of Chicago,HOME,https://haruka-uchida.github.io/
,Karen,Wu,PhD,University of Chicago,HOME,https://karen-a-wu.com/
,Ruoxuan,Wu,PhD,University of Chicago,HOME,https://rebeccawu96.github.io/
,Shijian,Yang,PhD,University of Chicago,HOME,https://www.shijianyang.com
,Nadia,Ali,PhD,Columbia University,HOME,https://sites.google.com/view/ali-nadia/home
,Nikhil,Basavappa,PhD,Columbia University,HOME,https://nikhilbasavappa.github.io/
,Giovanni,Bonfanti,PhD,Columbia University,HOME,https://sites.google.com/view/giovannibonfanti
,Luigi,Caloi,PhD,Columbia University,HOME,https://www.luigicaloi.com/
,Laura,Caron,PhD,Columbia University,HOME,https://laurakcaron.github.io/
,Jason,Chen,PhD,Columbia University,HOME,https://jasonjiaxingchen.github.io/
,Andrea,Ciccarone,PhD,Columbia University,HOME,https://andreaciccarone.github.io/
,Tushar,Kundu,PhD,Columbia University,HOME,https://tusharkundu.github.io/
,Tianhao,Liu,PhD,Columbia University,HOME,https://sites.google.com/view/tianhaoliuecon
